brand,model,processor_brand,processor_Name,processor_gnrtn,ram_gb,Apps,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,Price
Lenovo,Core,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,38990
HP,Ryzen,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,43490
Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,39990
ASUS,TUF,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,Yes,65990
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,14,0,Yes,No,71990
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,0,No,No,42490
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,0,No,No,44490
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14.96,0,No,No,45990
acer,Nitro,AMD,Core i3,Missing,8,DDR4,0,0,Missing,32,4,Casual,0,0,No,No,59990
ASUS,Vivobook,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,14.1,1,No,Yes,41890
acer,Aspire,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,43990
MSI,Pulse,Intel,Core i3,Missing,8,DDR4,0,0,Missing,32,6,Casual,0,0,No,No,109990
APPLE,MacBook,Apple,Core i3,Missing,8,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,132990
Lenovo,Ideapad,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,4,Gaming,15.6,0,No,No,59490
HP,Core,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,42490
MSI,Alpha,AMD,Core i3,Missing,8,DDR4,1024,0,Windows,64,8,Casual,15.6,1,No,No,99990
ASUS,ROG,AMD,Core i3,Missing,8,DDR4,1024,0,Windows,64,4,Casual,14,0,No,No,72990
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,14,0,Yes,No,71890
lenovo,Ideapad,Intel,Core i3,Missing,8,DDR4,0,0,Missing,32,0,Casual,0,0,No,No,72990
MSI,GF63,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,4,Casual,15.6,2,No,No,79990
ASUS,ROG,AMD,Core i3,Missing,8,DDR4,1024,0,Windows,64,6,Casual,15.6,1,No,No,135990
Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,Yes,68990
MSI,Bravo,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,0,No,No,64990
Infinix,INBook,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,32990
ASUS,ZenBook,Intel,Core i3,11th,8,DDR4,1024,0,Windows,64,0,Casual,14,1,Yes,No,134990
acer,Nitro,AMD,Core i3,Missing,8,DDR4,256,1024,Windows,64,6,Casual,15.6,1,No,No,89990
Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,0,No,No,64990
Mi,Notebook,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,2,Casual,14,1,No,No,59490
HP,Core,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,43970
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,65990
APPLE,MacBook,Apple,Core i3,Missing,8,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,104990
DELL,Vostro,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,Yes,36990
APPLE,MacBook,Apple,Core i3,Missing,8,DDR4,512,0,Mac,64,0,Casual,13.3,1,No,No,104990
HP,Core,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,0,No,No,55999
ASUS,Vivobook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,4,Casual,14,1,No,No,73490
HP,Pavilion,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,74490
acer,Aspire,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,ThinNlight,15.6,1,No,No,56990
DELL,Vostro,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,47490
Lenovo,Ideapad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,14,1,Yes,Yes,53990
HP,HP,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,No,59990
acer,Nitro,AMD,Core i3,Missing,8,DDR4,256,1024,Windows,64,4,Casual,15.6,0,No,No,81990
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,36990
ASUS,Core,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,39990
DELL,Ryzen,AMD,Core i3,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,39990
ASUS,Ryzen,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,4,Casual,14,1,No,No,79990
Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,Casual,15.6,2,No,No,38940
DELL,Inspiron,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,Casual,15,1,No,Yes,39490
ASUS,Chromebook,Intel,Core i3,Missing,8,DDR4,0,0,Missing,32,0,Casual,0,0,No,No,23490
HP,Pavilion,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,58340
ASUS,ROG,AMD,Core i3,Missing,8,DDR4,1024,0,Windows,32,0,Casual,15.6,1,No,No,154990
acer,Aspire,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,No,55999
Lenovo,Legion,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,0,No,No,69990
DELL,Inspiron,AMD,Core i3,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,44490
acer,Travelmate,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,14,0,No,No,55490
APPLE,2020,Apple,Core i3,Missing,8,DDR4,512,0,Mac,64,0,Casual,13.3,1,No,No,131990
MSI,Core,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,48990
HP,Pavilion,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,Yes,54990
HP,15-ec1105AX,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,No,58990
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,67990
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,2,Casual,15.6,1,No,No,62490
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,15.6,1,No,No,45990
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,59990
Lenovo,Ideapad,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,Casual,15.6,2,No,Yes,39999
DELL,Vostro,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,No,59490
